cell,replicate,block_id,env,onset,disturbed,leakfree,eligible,u_post,o_post,u_pre,o_pre,u_falltick,o_falltick
stand_motor,process_01,4,12,198,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,4,13,198,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,4,14,198,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,4,15,198,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,0,134,True,False,True,False,True,False,False,-1,173
stand_motor,process_01,5,1,134,True,False,True,True,True,False,False,165,157
stand_motor,process_01,5,2,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,3,134,True,False,True,False,True,False,False,-1,162
stand_motor,process_01,5,4,134,True,False,True,True,True,False,False,163,153
stand_motor,process_01,5,5,134,True,False,True,True,True,False,False,354,159
stand_motor,process_01,5,6,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,7,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,8,134,True,False,True,False,True,False,False,-1,156
stand_motor,process_01,5,9,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,10,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,11,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,12,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,13,134,True,False,True,False,True,False,False,-1,209
stand_motor,process_01,5,14,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,5,15,134,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,0,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,1,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,2,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,3,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,4,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,5,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,6,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,7,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,8,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,9,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,10,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,11,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,12,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,6,13,135,True,False,True,False,False,False,False,-1,-1
