cell,replicate,policy,family,block_id,block_index,onset,disturbed,seed,obs_noise,motor_scale,command_speed,divergent,leakfree,onset_obs_maxdiff,n_eligible,u_post_rate,o_post_rate,effect,u_pre_rate,o_pre_rate,pre_effect,u_fell,o_fell,u_falltick_med,u_task,o_task,pre_fall_env_diff
stand_motor,process_01,stand,motor,25,25,114,True,1633169130,,0.3602376139672218,,False,True,0.0,16,0.125,0.625,-0.5,0.0,0.0,0.0,0.125,0.625,-1.0,0.875,0.375,0
stand_motor,process_01,stand,motor,26,26,194,True,2060073464,,0.37316010142848466,,True,False,2.8146610260009766,16,0.0625,0.25,-0.1875,0.0,0.0,0.0,0.0625,0.25,-1.0,0.9375,0.75,0
stand_motor,process_01,stand,motor,27,27,178,True,85278554,,0.4144595137646589,,True,False,2.750985622406006,15,0.06666666666666667,0.26666666666666666,-0.2,0.0625,0.0625,0.0,0.125,0.3125,-1.0,0.875,0.6875,0
stand_motor,process_01,stand,motor,28,28,110,True,166093436,,0.5379478930031719,,False,True,0.0,16,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.25,-1.0,1.0,0.75,0
stand_motor,process_01,stand,motor,29,29,141,True,1727367437,,0.33447226079024045,,True,False,2.911276340484619,16,0.3125,0.4375,-0.125,0.0,0.0,0.0,0.3125,0.4375,-1.0,0.6875,0.5625,0
stand_motor,process_01,stand,motor,30,30,183,True,693174318,,0.3707905300887077,,True,False,2.715027093887329,16,0.3125,0.5625,-0.25,0.0,0.0,0.0,0.3125,0.5625,-1.0,0.6875,0.4375,0
stand_motor,process_01,stand,motor,31,31,105,True,100676283,,0.511734374538897,,False,True,0.0,16,0.0,0.0625,-0.0625,0.0,0.0,0.0,0.0,0.0625,-1.0,1.0,0.9375,0
stand_motor,process_01,stand,motor,32,32,100,False,1390954964,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,33,33,132,False,855805114,,,,True,False,2.864011764526367,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,34,34,198,False,495948368,,,,True,False,2.6776747703552246,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,35,35,146,False,130504308,,,,True,False,2.836027145385742,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,36,36,139,False,622232191,,,,True,False,2.946547746658325,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,37,37,128,False,13924810,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,38,38,154,False,1125919781,,,,True,False,2.861530303955078,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,39,39,189,False,341043764,,,,True,False,5.684520244598389,0,,,,0.0,0.0625,-0.0625,0.0625,0.0625,-1.0,0.9375,0.9375,1
stand_motor,process_01,stand,motor,40,40,104,False,1195268858,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,41,41,124,False,2054114475,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,42,42,111,False,128698083,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,43,43,168,False,110681967,,,,True,False,2.8866491317749023,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,44,44,138,False,602507604,,,,True,False,2.7721261978149414,0,,,,0.0625,0.0625,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,0
stand_motor,process_01,stand,motor,45,45,101,False,1707517619,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,0
